Samples	Signature A
Sample993	0.00E+00
Sample994	0.00E+00
Sample995	0.00E+00
Sample996	0.00E+00
Sample997	0.00E+00
Sample998	0.00E+00
Sample999	0.00E+00
Sample1000	0.00E+00
Sample1001	0.00E+00
Sample1002	0.00E+00
Sample1003	0.00E+00
Sample1004	0.00E+00
Sample1005	0.00E+00
Sample1006	0.00E+00
Sample1007	0.00E+00
Sample1008	0.00E+00
Sample1009	0.00E+00
Sample1010	0.00E+00
Sample1011	0.00E+00
Sample1012	0.00E+00
Sample1013	0.00E+00
Sample1014	0.00E+00
Sample1015	0.00E+00
Sample1016	0.00E+00
Sample1017	0.00E+00
Sample1018	0.00E+00
Sample1019	0.00E+00
Sample1020	0.00E+00
Sample1021	0.00E+00
Sample1022	0.00E+00
Sample1023	0.00E+00
Sample1024	0.00E+00
Sample1025	0.00E+00
Sample1026	0.00E+00
Sample1027	0.00E+00
Sample1028	0.00E+00
Sample1029	0.00E+00
Sample1030	0.00E+00
Sample1031	0.00E+00
Sample1032	0.00E+00
Sample1033	0.00E+00
Sample1034	0.00E+00
Sample1035	0.00E+00
Sample1036	0.00E+00
Sample1037	0.00E+00
Sample1038	0.00E+00
Sample1039	0.00E+00
Sample1040	0.00E+00
Sample1041	0.00E+00
Sample1042	0.00E+00
Sample1043	0.00E+00
Sample1044	0.00E+00
Sample1045	0.00E+00
Sample1046	0.00E+00
Sample1047	0.00E+00
Sample1048	0.00E+00
Sample1049	0.00E+00
Sample1050	0.00E+00
Sample1051	0.00E+00
Sample1052	0.00E+00
Sample1053	0.00E+00
Sample1054	0.00E+00
Sample1055	0.00E+00
Sample1056	0.00E+00
Sample1057	0.00E+00
Sample1058	0.00E+00
Sample1059	0.00E+00
Sample1060	0.00E+00
Sample1061	0.00E+00
Sample1062	0.00E+00
Sample1063	0.00E+00
Sample1064	0.00E+00
Sample1065	0.00E+00
Sample1066	0.00E+00
Sample1067	0.00E+00
Sample1068	0.00E+00
Sample1069	0.00E+00
