Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample80	0.00E+00	0.00E+00	3.97E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.97E+00	0.00E+00
Sample81	2.40E+00	7.01E+00	4.04E+00	4.15E+00	3.36E+00	0.00E+00	4.31E+00	4.60E+00	7.74E+00	0.00E+00
Sample82	1.22E+00	4.81E+00	1.36E+00	5.40E+00	2.13E+00	2.94E+00	1.96E+00	4.75E+00	5.01E+00	0.00E+00
Sample83	3.48E+00	0.00E+00	8.00E-01	1.96E+00	2.20E+00	2.00E-01	1.20E+00	2.23E+00	6.38E+00	5.48E+00
Sample84	9.46E+00	4.00E-01	1.20E+00	4.40E+00	1.50E+00	8.00E-01	4.59E+00	2.71E+00	3.60E+00	5.36E+00
Sample85	4.04E+00	1.80E+00	0.00E+00	1.00E+00	4.19E+00	1.94E+00	7.57E+00	0.00E+00	1.60E+00	5.98E+00
Sample86	2.94E+00	1.80E+00	1.78E+00	6.00E-01	5.11E+00	0.00E+00	5.00E+00	1.43E+00	1.39E+00	3.63E+00
Sample87	3.30E+00	6.22E+00	2.38E+00	6.89E+00	6.60E+00	0.00E+00	3.31E+00	2.68E+00	4.00E-01	0.00E+00
Sample88	2.96E+00	6.92E+00	2.52E+00	2.40E+00	1.85E+00	4.91E+00	4.77E+00	3.25E+00	4.00E-01	3.43E+00
Sample89	0.00E+00	2.85E+00	1.80E+00	4.40E+00	3.51E+00	0.00E+00	9.27E-01	2.36E+00	4.73E+00	1.33E+00
Sample90	0.00E+00	7.33E+00	8.00E-01	4.57E+00	2.30E+00	0.00E+00	2.47E+00	6.04E+00	5.54E+00	0.00E+00
Sample91	4.65E+00	1.11E+01	0.00E+00	5.83E+00	1.60E+00	4.00E-01	4.55E+00	1.74E+00	0.00E+00	3.41E+00
Sample92	6.76E+00	2.85E+00	2.06E+00	5.09E+00	4.75E+00	8.00E-01	3.07E+00	2.23E+00	4.90E+00	0.00E+00
Sample93	2.99E+00	6.93E+00	1.11E+00	8.80E+00	5.15E+00	2.69E+00	4.00E-01	5.95E+00	7.04E+00	2.13E+00
Sample94	5.56E+00	3.44E+00	3.12E+00	6.05E+00	4.87E+00	1.40E+00	2.92E+00	4.68E+00	4.52E+00	0.00E+00
Sample95	4.12E+00	5.51E+00	1.96E+00	5.13E+00	1.00E+00	0.00E+00	2.52E+00	5.50E+00	2.36E+00	0.00E+00
Sample96	3.80E+00	8.19E+00	1.46E+00	6.24E+00	2.56E+00	2.00E-01	1.00E+00	3.16E+00	2.71E+00	0.00E+00
Sample97	1.83E+00	4.93E+00	1.26E+00	4.08E+00	4.00E+00	0.00E+00	4.88E+00	4.93E+00	2.63E+00	0.00E+00
Sample98	9.70E-01	4.73E+00	2.04E+00	2.86E+00	1.20E+00	5.24E+00	4.79E+00	5.23E+00	1.83E+00	3.75E+00
Sample99	5.63E+00	3.12E+00	0.00E+00	2.19E+00	3.25E+00	8.17E+00	0.00E+00	5.46E+00	1.31E+01	4.69E+00
Sample100	4.00E+00	4.89E+00	2.00E-01	9.06E+00	2.85E+00	2.90E+00	3.19E+00	7.34E+00	5.20E+00	0.00E+00
