Samples	Signature A	Signature B	Signature C	Signature D
Sample418	410	0	562	0
Sample419	762	230	0	0
Sample420	580	0	0	433
Sample421	283	692	0	0
Sample422	361	339	0	304
Sample423	750	239	0	0
Sample424	347	639	0	0
Sample425	792	208	0	0
Sample426	769	223	0	0
Sample427	595	0	0	408
Sample428	744	0	235	0
Sample429	731	269	0	0
Sample430	410	0	562	0
Sample431	763	237	0	0
Sample432	732	276	0	0
Sample433	190	0	432	377
Sample434	789	203	0	0
Sample435	476	351	0	196
Sample436	753	255	0	0
Sample437	759	0	249	0
Sample438	478	268	0	239
Sample439	311	662	0	0
Sample440	343	673	0	0
Sample441	698	0	280	0
Sample442	755	226	0	0
Sample443	623	377	0	0
Sample444	707	309	0	0
Sample445	856	0	0	157
Sample446	792	200	0	0
Sample447	204	616	0	199
Sample448	985	0	0	0
Sample449	238	733	0	0
Sample450	738	0	241	0
Sample451	685	329	0	0
Sample452	423	274	0	311
Sample453	686	0	172	120
Sample454	253	579	0	182
Sample455	279	744	0	0
Sample456	710	271	0	0
Sample457	760	0	0	259
Sample458	793	215	0	0
Sample459	704	288	0	0
Sample460	432	251	0	335
Sample461	722	286	0	0
Sample462	797	203	0	0
Sample463	379	588	0	0
Sample464	742	230	0	0
Sample465	738	242	0	0
Sample466	743	257	0	0
Sample467	342	421	257	0
Sample468	870	0	0	111
Sample469	855	0	0	137
Sample470	736	264	0	0
Sample471	497	531	0	0
Sample472	409	626	0	0
Sample473	695	323	0	0
Sample474	711	310	0	0
Sample475	0	0	766	204
Sample476	334	259	425	0
Sample477	740	249	0	0
Sample478	755	225	0	0
Sample479	745	270	0	0
Sample480	292	688	0	0
Sample481	738	248	0	0
Sample482	979	0	0	0
Sample483	744	270	0	0
Sample484	778	208	0	0
Sample485	784	202	0	0
Sample486	989	0	0	0
Sample487	357	626	0	0
Sample488	766	0	242	0
Sample489	780	192	0	0
Sample490	801	207	0	0
Sample491	211	768	0	0
Sample492	0	561	263	193
Sample493	691	332	0	0
Sample494	0	731	238	0
Sample495	712	269	0	0
Sample496	345	419	0	208
Sample497	342	310	340	0
Sample498	279	733	0	0
Sample499	760	232	0	0
Sample500	0	309	509	195
Sample501	0	0	718	290
Sample502	775	217	0	0
Sample503	663	350	0	0
Sample504	699	319	0	0
Sample505	866	0	0	150
Sample506	413	561	0	0
Sample507	862	0	0	118
Sample508	719	281	0	0
Sample509	0	529	255	230
Sample510	449	317	0	218
Sample511	440	281	0	294
Sample512	763	262	0	0
Sample513	867	0	0	121
Sample514	621	0	0	405
Sample515	748	252	0	0
Sample516	335	337	0	336
Sample517	791	217	0	0
Sample518	794	191	0	0
Sample519	845	0	0	155
Sample520	778	214	0	0
Sample521	632	0	210	150
Sample522	536	226	0	217
Sample523	360	619	0	0
Sample524	706	0	302	0
Sample525	582	0	0	426
