Iteration	L1	L1 %	L2	L2 %	KL Divergence
263	1.858	14.055	0.348	16.972	0.019
264	1.942	14.728	0.367	17.924	0.021
265	1.867	14.103	0.344	16.919	0.019
266	1.865	14.137	0.339	16.624	0.02
267	1.892	14.332	0.348	17.138	0.02
268	1.92	14.528	0.353	17.279	0.02
269	1.839	13.915	0.346	16.957	0.02
270	1.863	14.113	0.354	17.358	0.02
271	1.832	13.843	0.341	16.668	0.02
272	1.888	14.308	0.341	16.819	0.02
273	1.862	14.082	0.35	17.204	0.02
274	1.921	14.547	0.361	17.736	0.022
275	1.845	13.929	0.35	17.213	0.019
276	1.93	14.616	0.35	17.149	0.02
277	1.843	13.936	0.346	16.983	0.019
278	1.834	13.887	0.359	17.462	0.02
279	1.855	14.0	0.347	17.011	0.02
280	1.902	14.429	0.34	16.715	0.02
281	1.873	14.204	0.35	17.081	0.02
282	1.896	14.326	0.354	17.399	0.02
283	1.858	14.054	0.351	16.991	0.019
284	1.909	14.461	0.353	17.307	0.021
285	1.837	13.893	0.347	17.091	0.02
286	1.926	14.591	0.359	17.632	0.022
287	1.927	14.626	0.361	17.621	0.022
288	1.889	14.298	0.358	17.463	0.02
289	1.847	13.959	0.339	16.593	0.019
290	1.853	14.04	0.344	16.836	0.02
291	1.808	13.696	0.346	16.992	0.02
292	1.866	14.121	0.346	17.0	0.02
293	1.891	14.334	0.346	16.987	0.02
294	1.913	14.514	0.354	17.481	0.02
295	1.955	14.777	0.366	17.801	0.021
296	1.865	14.083	0.342	16.793	0.02
297	1.902	14.379	0.347	16.945	0.02
298	1.834	13.851	0.343	16.782	0.019
299	1.851	14.005	0.347	16.842	0.019
300	1.869	14.157	0.358	17.426	0.02
301	1.932	14.595	0.363	17.762	0.021
302	1.884	14.31	0.353	17.324	0.021
303	1.816	13.763	0.339	16.689	0.019
304	1.853	14.003	0.34	16.698	0.02
305	1.856	14.027	0.349	17.165	0.021
306	1.934	14.647	0.353	17.227	0.021
307	1.865	14.156	0.34	16.829	0.02
308	1.862	14.084	0.346	16.866	0.019
309	1.85	14.007	0.344	16.718	0.019
310	1.853	14.052	0.343	16.901	0.019
311	1.848	14.026	0.337	16.459	0.019
312	1.889	14.289	0.351	17.168	0.02
313	1.926	14.594	0.349	17.157	0.021
314	1.853	14.017	0.352	17.212	0.019
315	1.827	13.837	0.34	16.864	0.019
316	1.927	14.62	0.353	17.187	0.02
317	1.88	14.243	0.346	16.984	0.019
318	1.9	14.404	0.349	17.179	0.02
319	1.843	13.957	0.343	16.864	0.019
320	1.916	14.527	0.355	17.35	0.02
321	1.863	14.093	0.339	16.63	0.019
322	1.903	14.375	0.351	17.142	0.021
323	1.837	13.917	0.34	16.798	0.021
324	1.846	13.975	0.344	16.819	0.02
325	1.915	14.494	0.361	17.643	0.021
326	1.844	13.958	0.339	16.621	0.02
327	1.826	13.838	0.336	16.46	0.019
328	1.808	13.682	0.33	16.25	0.019
329	1.896	14.379	0.351	17.277	0.021
330	1.866	14.12	0.352	17.135	0.02
331	1.88	14.24	0.344	16.886	0.02
332	1.852	14.015	0.346	16.966	0.019
333	1.822	13.794	0.347	16.828	0.019
334	1.868	14.143	0.358	17.319	0.02
335	1.849	14.003	0.343	16.656	0.019
336	1.767	13.364	0.336	16.495	0.019
337	1.856	14.046	0.343	16.811	0.019
338	1.845	13.971	0.345	16.802	0.02
339	1.895	14.329	0.35	17.126	0.02
