Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1662	62518	1.0	1443.037	2.308%	234.547	1.982%	0.0007
Sample1663	62547	1.0	1440.337	2.303%	234.155	1.977%	0.0007
Sample1664	62574	1.0	1439.974	2.301%	234.366	1.978%	0.0007
Sample1665	62597	1.0	1441.903	2.303%	234.623	1.979%	0.0007
Sample1666	62630	1.0	1452.138	2.319%	235.43	1.985%	0.0007
Sample1667	62706	1.0	1463.497	2.334%	237.147	1.997%	0.0008
Sample1668	62749	1.0	1464.87	2.334%	237.032	1.995%	0.0008
Sample1669	62787	1.0	1465.003	2.333%	237.373	1.996%	0.0008
Sample1670	62828	1.0	1463.343	2.329%	237.532	1.997%	0.0008
Sample1671	62857	1.0	1461.399	2.325%	237.285	1.994%	0.0008
Sample1672	62869	1.0	1458.219	2.319%	237.36	1.994%	0.0008
Sample1673	62898	1.0	1456.133	2.315%	236.852	1.989%	0.0008
Sample1674	62929	1.0	1452.217	2.308%	236.333	1.983%	0.0008
Sample1675	62957	1.0	1453.612	2.309%	235.874	1.978%	0.0008
Sample1676	62997	1.0	1451.944	2.305%	235.704	1.976%	0.0008
Sample1677	63031	1.0	1452.868	2.305%	235.852	1.976%	0.0008
Sample1678	63063	1.0	1452.288	2.303%	235.559	1.972%	0.0007
Sample1679	63100	1.0	1455.161	2.306%	236.066	1.975%	0.0008
Sample1680	63173	1.0	1471.926	2.33%	238.345	1.992%	0.0008
Sample1681	63200	1.0	1472.299	2.33%	238.395	1.991%	0.0008
Sample1682	63235	1.0	1472.15	2.328%	237.811	1.985%	0.0008
Sample1683	63277	1.0	1480.26	2.339%	239.021	1.994%	0.0008
Sample1684	63337	1.0	1491.256	2.354%	241.13	2.01%	0.0008
Sample1685	63380	1.0	1498.229	2.364%	242.751	2.022%	0.0008
Sample1686	63392	1.0	1495.049	2.358%	242.804	2.022%	0.0008
Sample1687	63417	1.0	1493.58	2.355%	242.588	2.019%	0.0008
Sample1688	63443	1.0	1493.046	2.353%	242.209	2.015%	0.0008
Sample1689	63471	1.0	1494.338	2.354%	242.228	2.015%	0.0008
Sample1690	63499	1.0	1497.574	2.358%	242.641	2.017%	0.0008
Sample1691	63535	1.0	1500.589	2.362%	242.422	2.014%	0.0008
Sample1692	63562	1.0	1500.946	2.361%	242.035	2.01%	0.0008
Sample1693	63595	1.0	1504.84	2.366%	241.838	2.007%	0.0008
Sample1694	63635	1.0	1509.124	2.372%	242.876	2.015%	0.0008
Sample1695	63672	1.0	1514.728	2.379%	244.277	2.025%	0.0008
Sample1696	63717	1.0	1521.934	2.389%	245.154	2.031%	0.0008
Sample1697	63747	1.0	1519.063	2.383%	244.626	2.025%	0.0008
Sample1698	63803	1.0	1522.153	2.386%	244.915	2.026%	0.0008
Sample1699	63842	1.0	1517.364	2.377%	244.032	2.018%	0.0008
Sample1700	63872	1.0	1518.427	2.377%	244.11	2.017%	0.0008
Sample1701	63900	1.0	1517.605	2.375%	243.455	2.011%	0.0008
Sample1702	63939	1.0	1520.89	2.379%	243.769	2.012%	0.0008
Sample1703	63974	1.0	1524.749	2.383%	244.29	2.015%	0.0008
Sample1704	64008	1.0	1523.625	2.38%	243.339	2.006%	0.0008
Sample1705	64044	1.0	1528.211	2.386%	244.308	2.013%	0.0008
Sample1706	64085	1.0	1539.676	2.403%	245.691	2.023%	0.0008
Sample1707	64114	1.0	1539.847	2.402%	245.358	2.019%	0.0008
Sample1708	64137	1.0	1532.379	2.389%	244.132	2.009%	0.0008
Sample1709	64168	1.0	1538.29	2.397%	244.851	2.014%	0.0008
Sample1710	64196	1.0	1535.672	2.392%	244.556	2.01%	0.0008
Sample1711	64225	1.0	1541.887	2.401%	245.281	2.015%	0.0008
Sample1712	64251	1.0	1537.369	2.393%	244.076	2.004%	0.0008
Sample1713	64274	1.0	1529.902	2.38%	242.927	1.994%	0.0008
Sample1714	64299	1.0	1522.275	2.367%	241.668	1.983%	0.0008
