Iteration	L1	L1 %	L2	L2 %	KL Divergence
457	2.431	18.314	0.443	21.998	0.03
458	2.496	18.795	0.463	22.666	0.032
459	2.449	18.497	0.442	22.01	0.031
460	2.432	18.31	0.454	22.374	0.031
461	2.47	18.601	0.454	22.358	0.032
462	2.493	18.778	0.467	22.664	0.031
463	2.514	18.926	0.458	22.623	0.032
464	2.481	18.688	0.453	22.305	0.031
465	2.413	18.165	0.448	22.064	0.031
466	2.438	18.353	0.447	22.022	0.031
467	2.512	18.875	0.468	23.04	0.032
468	2.463	18.566	0.465	22.902	0.032
469	2.49	18.788	0.462	22.779	0.032
470	2.495	18.829	0.461	22.791	0.032
471	2.48	18.699	0.453	22.388	0.031
472	2.417	18.217	0.454	22.404	0.03
473	2.543	19.169	0.478	23.427	0.034
474	2.427	18.288	0.441	21.878	0.031
475	2.455	18.498	0.46	22.533	0.031
476	2.485	18.736	0.454	22.246	0.031
477	2.5	18.796	0.462	22.651	0.032
478	2.485	18.698	0.464	22.781	0.032
479	2.515	19.004	0.466	22.911	0.033
480	2.447	18.461	0.452	22.148	0.031
481	2.441	18.365	0.455	22.46	0.031
482	2.428	18.304	0.451	22.398	0.031
483	2.455	18.483	0.457	22.48	0.032
484	2.486	18.718	0.464	22.845	0.032
485	2.43	18.314	0.449	22.247	0.031
486	2.447	18.415	0.452	22.103	0.03
487	2.432	18.347	0.449	22.118	0.031
488	2.503	18.849	0.469	22.828	0.033
489	2.483	18.717	0.457	22.524	0.031
490	2.527	19.05	0.471	22.978	0.032
491	2.502	18.853	0.464	22.838	0.032
492	2.485	18.714	0.463	22.657	0.032
493	2.494	18.853	0.456	22.633	0.033
494	2.446	18.451	0.459	22.604	0.032
495	2.4	18.109	0.445	22.031	0.03
496	2.426	18.288	0.457	22.321	0.03
497	2.497	18.812	0.465	22.675	0.032
498	2.492	18.766	0.466	22.847	0.031
499	2.483	18.693	0.458	22.54	0.032
500	2.452	18.494	0.455	22.348	0.031
501	2.446	18.405	0.459	22.402	0.03
502	2.516	18.967	0.458	22.473	0.033
503	2.481	18.736	0.463	22.842	0.033
504	2.424	18.235	0.449	21.933	0.03
505	2.508	18.885	0.464	22.811	0.032
506	2.482	18.727	0.463	22.979	0.033
507	2.37	17.877	0.436	21.75	0.03
508	2.508	18.879	0.459	22.505	0.032
509	2.462	18.556	0.447	22.068	0.031
510	2.463	18.529	0.444	22.156	0.031
511	2.438	18.378	0.45	22.426	0.031
512	2.37	17.857	0.447	21.959	0.029
513	2.48	18.677	0.454	22.483	0.032
514	2.517	18.978	0.469	23.074	0.033
515	2.462	18.555	0.456	22.409	0.031
516	2.481	18.675	0.459	22.69	0.032
517	2.459	18.549	0.456	22.444	0.032
518	2.53	19.069	0.472	23.151	0.033
519	2.484	18.717	0.457	22.555	0.032
520	2.499	18.85	0.457	22.531	0.033
521	2.564	19.309	0.476	23.324	0.033
522	2.477	18.651	0.46	22.674	0.032
523	2.481	18.729	0.453	22.306	0.032
524	2.462	18.563	0.465	22.923	0.033
525	2.413	18.217	0.445	22.108	0.031
526	2.585	19.527	0.476	23.381	0.034
527	2.432	18.374	0.438	21.931	0.032
528	2.435	18.355	0.448	22.276	0.031
529	2.493	18.8	0.458	22.629	0.032
530	2.436	18.326	0.456	22.206	0.031
531	2.47	18.592	0.465	22.696	0.032
532	2.434	18.339	0.46	22.555	0.03
533	2.48	18.685	0.462	22.688	0.032
534	2.433	18.311	0.452	22.084	0.03
535	2.481	18.701	0.464	22.709	0.031
536	2.501	18.836	0.464	22.668	0.032
537	2.428	18.27	0.451	22.136	0.031
538	2.49	18.773	0.461	22.793	0.032
539	2.473	18.606	0.442	21.893	0.031
540	2.501	18.876	0.462	22.867	0.033
541	2.378	17.905	0.443	22.023	0.031
542	2.544	19.174	0.468	22.887	0.033
543	2.423	18.255	0.458	22.375	0.03
544	2.514	18.953	0.47	23.04	0.033
545	2.433	18.315	0.447	21.993	0.03
546	2.446	18.43	0.462	22.594	0.031
547	2.501	18.86	0.471	23.037	0.032
548	2.474	18.687	0.448	22.387	0.032
549	2.552	19.197	0.474	23.204	0.033
550	2.476	18.66	0.455	22.518	0.032
551	2.485	18.716	0.461	22.521	0.032
552	2.509	18.909	0.461	22.677	0.032
553	2.485	18.754	0.46	22.557	0.032
554	2.564	19.152	0.511	23.549	0.034
555	2.409	18.151	0.444	21.943	0.03
556	2.371	17.882	0.438	21.645	0.03
557	2.431	18.29	0.454	22.238	0.031
558	2.483	18.72	0.461	22.624	0.032
559	2.521	18.993	0.459	22.568	0.032
560	2.399	18.094	0.445	22.091	0.03
561	2.492	18.739	0.457	22.391	0.031
562	2.572	19.361	0.474	23.195	0.033
563	2.518	19.016	0.452	22.439	0.032
564	2.375	17.899	0.443	21.941	0.03
565	2.476	18.593	0.46	22.524	0.031
566	2.547	19.207	0.472	22.93	0.033
567	2.466	18.564	0.457	22.525	0.032
568	2.453	18.47	0.451	22.299	0.031
569	2.447	18.403	0.447	22.028	0.03
570	2.509	18.879	0.451	22.274	0.031
571	2.421	18.266	0.44	21.934	0.03
572	2.47	18.654	0.458	22.497	0.032
573	2.4	18.109	0.444	22.125	0.031
574	2.512	18.913	0.46	22.637	0.032
575	2.479	18.688	0.46	22.604	0.032
576	2.51	18.894	0.467	22.865	0.032
577	2.451	18.434	0.466	22.726	0.031
578	2.449	18.463	0.462	22.457	0.031
579	2.462	18.556	0.456	22.558	0.032
580	2.525	19.029	0.471	23.13	0.033
581	2.494	18.828	0.463	22.693	0.032
582	2.439	18.373	0.445	22.063	0.031
583	2.435	18.337	0.456	22.274	0.031
584	2.454	18.473	0.454	22.358	0.031
585	2.45	18.464	0.451	22.259	0.031
586	2.443	18.408	0.449	22.034	0.031
587	2.512	18.935	0.467	22.827	0.033
588	2.461	18.569	0.449	22.418	0.032
589	2.43	18.294	0.457	22.511	0.031
590	2.504	18.871	0.46	22.693	0.032
591	2.503	18.841	0.46	22.667	0.032
592	2.44	18.369	0.456	22.581	0.03
593	2.378	17.914	0.444	21.842	0.029
