Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample179	1.47E+01	1.21E+01	1.45E+01	1.23E+01	1.42E+01	2.08E+01
Sample180	2.86E+01	8.63E+00	1.59E+01	2.06E+01	1.43E+01	2.56E+01
Sample181	1.60E+01	9.46E+00	1.54E+01	2.14E+01	2.12E+01	2.29E+01
Sample182	3.90E+01	3.10E+01	4.62E+01	3.55E+01	2.73E+01	6.45E+00
Sample183	2.37E+01	6.67E+00	2.17E+01	1.78E+01	1.32E+01	1.69E+01
Sample184	2.78E+01	1.70E+01	3.55E+01	1.89E+01	4.69E+01	2.25E+01
Sample185	2.82E+01	3.73E+01	1.98E+01	1.75E+01	3.91E+01	2.62E+01
Sample186	1.57E+01	1.12E+01	2.66E+01	1.52E+01	1.21E+01	1.09E+01
Sample187	2.44E+01	1.07E+01	1.76E+01	2.11E+01	2.32E+01	3.81E+01
Sample188	4.11E+01	7.20E+00	6.19E+01	3.79E+01	4.81E+01	1.32E+01
Sample189	3.68E+01	1.32E+01	1.81E+01	2.15E+01	6.65E+00	2.74E+01
Sample190	1.14E+01	9.27E+00	1.55E+01	1.03E+01	9.63E+00	1.36E+01
Sample191	2.19E+01	1.12E+01	2.02E+01	1.88E+01	1.59E+01	1.32E+01
Sample192	1.38E+01	1.39E+01	2.26E+01	1.96E+01	1.69E+01	1.21E+01
Sample193	4.86E+01	6.36E+00	1.63E+01	2.91E+01	1.21E+01	2.17E+01
Sample194	5.23E+01	1.53E+01	4.85E+01	2.06E+01	5.90E+01	2.22E+01
Sample195	2.64E+01	9.24E+00	1.59E+01	9.22E+00	1.29E+01	1.95E+01
Sample196	4.87E+00	1.29E+01	2.47E+01	3.45E+01	2.19E+01	1.87E+01
Sample197	3.13E+01	1.11E+01	4.64E+01	1.99E+01	5.46E+01	2.00E+01
Sample198	1.70E+01	8.82E+00	2.02E+01	2.05E+01	1.62E+01	2.48E+01
Sample199	1.66E+01	8.79E+00	2.13E+01	1.98E+01	2.23E+01	2.02E+01
Sample200	1.85E+01	1.41E+01	2.53E+01	1.20E+01	2.21E+01	1.58E+01
Sample201	1.37E+01	1.12E+01	1.25E+01	1.26E+01	1.90E+01	1.99E+01
Sample202	3.67E+01	1.13E+01	4.64E+01	2.80E+01	5.49E+01	1.54E+01
Sample203	2.64E+01	3.66E+01	1.82E+01	1.62E+01	3.33E+01	3.52E+01
Sample204	1.44E+01	9.69E+00	1.15E+01	1.17E+01	1.48E+01	1.68E+01
Sample205	3.62E+01	9.56E+00	3.17E+01	3.35E+01	4.18E+01	1.76E+01
Sample206	2.32E+01	2.44E+01	3.39E+01	1.82E+01	1.19E+01	1.76E+01
Sample207	1.33E+01	7.83E+00	1.19E+01	1.88E+01	1.59E+01	2.62E+01
Sample208	1.71E+01	1.30E+01	1.24E+01	1.86E+01	6.90E+00	2.96E+01
Sample209	5.52E+01	3.08E+01	4.64E+01	2.56E+01	4.30E+01	1.81E+01
Sample210	3.77E+01	9.00E+00	3.65E+01	4.25E+01	4.52E+01	1.79E+01
Sample211	4.42E+01	5.69E+00	8.20E+00	2.60E+01	8.36E+00	2.75E+01
Sample212	2.63E+01	8.92E+00	3.76E+01	1.40E+01	3.77E+01	1.62E+01
Sample213	5.40E+01	1.48E+01	5.39E+01	3.14E+01	5.68E+01	1.43E+01
Sample214	2.08E+01	1.01E+01	4.93E+00	1.74E+01	1.74E+01	2.63E+01
Sample215	3.55E+01	3.96E+01	2.07E+01	1.89E+01	2.85E+01	2.83E+01
Sample216	1.29E+01	2.90E+01	3.53E+01	3.66E+01	1.95E+01	2.39E+01
Sample217	5.66E+01	6.93E+00	4.62E+01	2.57E+01	6.25E+01	2.34E+01
Sample218	1.84E+01	1.03E+01	1.63E+01	2.11E+01	7.68E+00	1.85E+01
Sample219	1.20E+01	3.86E+01	2.19E+01	6.21E+01	7.59E+01	2.38E+01
Sample220	6.21E+01	2.61E+01	6.88E+01	3.25E+01	4.88E+01	1.24E+01
Sample221	3.70E+01	1.22E+01	4.24E+01	4.00E+01	5.10E+01	1.91E+01
Sample222	1.33E+01	1.25E+01	1.96E+01	1.89E+01	1.27E+01	2.38E+01
Sample223	3.33E+01	1.37E+01	3.39E+01	2.10E+01	4.33E+01	7.74E+00
Sample224	3.73E+01	1.17E+01	5.25E+01	3.13E+01	6.19E+01	2.39E+01
