Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample454	1014	0.961	241.494	23.816%	35.944	27.868%	0.0424
Sample455	1023	0.97	179.51	17.547%	29.817	24.235%	0.0302
Sample456	981	0.971	136.051	13.869%	26.912	24.008%	0.0278
Sample457	1019	0.959	233.597	22.924%	34.087	28.315%	0.0449
Sample458	1008	0.986	87.978	8.728%	20.06	17.222%	0.0107
Sample459	992	0.984	96.672	9.745%	19.616	17.696%	0.0141
Sample460	1018	0.958	249.381	24.497%	35.572	28.661%	0.0458
Sample461	1008	0.971	130.3	12.927%	26.967	23.836%	0.0231
Sample462	1000	0.985	92.428	9.243%	19.661	17.51%	0.0151
Sample463	967	0.973	163.832	16.942%	26.381	23.077%	0.027
Sample464	972	0.989	79.506	8.18%	16.272	15.074%	0.0098
Sample465	980	0.984	92.174	9.406%	19.893	18.073%	0.0146
Sample466	1000	0.974	112.971	11.297%	25.239	22.593%	0.0251
Sample467	1020	0.972	168.217	16.492%	26.991	23.466%	0.0269
Sample468	981	0.99	78.345	7.986%	15.57	14.043%	0.0083
Sample469	992	0.987	81.85	8.251%	17.793	15.968%	0.0113
Sample470	1000	0.989	85.813	8.581%	17.086	14.99%	0.0098
Sample471	1028	0.984	132.551	12.894%	20.889	17.684%	0.0168
Sample472	1035	0.975	152.717	14.755%	26.92	22.468%	0.0209
Sample473	1018	0.968	121.99	11.983%	28.723	24.949%	0.0252
Sample474	1021	0.988	97.434	9.543%	18.671	15.881%	0.0109
Sample475	970	0.881	285.264	29.409%	53.313	48.307%	0.0974
Sample476	1018	0.925	271.202	26.641%	43.306	39.131%	0.0651
Sample477	989	0.982	99.959	10.107%	20.805	18.728%	0.0161
Sample478	980	0.989	74.528	7.605%	16.309	14.817%	0.0097
Sample479	1015	0.977	116.278	11.456%	24.142	21.128%	0.0204
Sample480	980	0.979	148.568	15.16%	23.966	20.407%	0.0223
Sample481	986	0.966	112.574	11.417%	29.926	25.842%	0.0229
Sample482	979	0.982	97.476	9.957%	20.89	18.794%	0.0169
Sample483	1014	0.984	102.078	10.067%	20.287	17.71%	0.0153
Sample484	986	0.985	84.831	8.604%	19.439	17.399%	0.014
Sample485	986	0.994	57.086	5.79%	12.168	10.891%	0.0043
Sample486	989	0.983	97.577	9.866%	20.221	18.202%	0.0157
Sample487	983	0.974	170.325	17.327%	27.162	22.84%	0.0288
Sample488	1008	0.98	106.541	10.57%	22.238	19.656%	0.0171
Sample489	972	0.992	68.867	7.085%	13.59	12.428%	0.007
Sample490	1008	0.991	79.906	7.927%	16.002	13.936%	0.0082
Sample491	979	0.977	161.184	16.464%	25.968	21.283%	0.0257
Sample492	1017	0.963	226.103	22.232%	34.659	27.13%	0.0348
Sample493	1023	0.971	141.027	13.786%	28.439	24.012%	0.0247
Sample494	969	0.966	184.374	19.027%	30.9	25.828%	0.0359
Sample495	981	0.984	97.564	9.945%	19.752	17.815%	0.0135
Sample496	972	0.941	221.7	22.809%	41.033	33.883%	0.0534
Sample497	992	0.925	222.226	22.402%	44.267	38.184%	0.0622
Sample498	1012	0.973	161.958	16.004%	27.957	23.04%	0.0271
Sample499	992	0.989	77.148	7.777%	16.435	14.826%	0.0108
Sample500	1013	0.934	257.218	25.392%	42.505	35.894%	0.0673
Sample501	1008	0.902	299.611	29.723%	51.361	43.693%	0.0916
Sample502	992	0.993	63.703	6.422%	13.382	11.948%	0.0064
Sample503	1013	0.986	107.988	10.66%	19.814	16.939%	0.0119
Sample504	1018	0.988	94.606	9.293%	18.028	15.446%	0.0099
Sample505	1016	0.98	112.467	11.07%	22.833	19.796%	0.0165
Sample506	974	0.964	190.078	19.515%	30.585	26.457%	0.041
Sample507	980	0.985	78.786	8.039%	18.606	17.096%	0.0128
Sample508	1000	0.984	102.225	10.222%	20.173	17.966%	0.0143
Sample509	1014	0.973	211.532	20.861%	29.293	23.157%	0.0337
Sample510	984	0.955	198.004	20.122%	35.245	29.592%	0.0418
Sample511	1015	0.962	246.778	24.313%	33.598	27.377%	0.0442
Sample512	1025	0.981	102.881	10.037%	22.4	19.26%	0.016
Sample513	988	0.994	69.716	7.056%	12.653	11.339%	0.0059
Sample514	1026	0.941	312.415	30.45%	42.071	33.738%	0.0655
