Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample189	6505	1.0	193.941	2.981%	32.524	2.55%	0.0016
Sample190	6532	1.0	194.322	2.975%	32.804	2.56%	0.0016
Sample191	6560	1.0	199.387	3.039%	33.562	2.606%	0.0016
Sample192	6588	1.0	198.316	3.01%	33.287	2.574%	0.0016
Sample193	6611	1.0	207.949	3.145%	34.458	2.656%	0.0016
Sample194	6661	1.0	194.459	2.919%	33.311	2.55%	0.0015
Sample195	6687	1.0	196.903	2.945%	33.161	2.528%	0.0015
Sample196	6696	1.0	194.647	2.907%	33.052	2.518%	0.0014
Sample197	6734	1.0	199.715	2.966%	33.715	2.554%	0.0015
Sample198	6762	1.0	201.976	2.987%	34.392	2.592%	0.0015
Sample199	6786	1.0	205.914	3.034%	35.14	2.638%	0.0015
Sample200	6822	1.0	207.026	3.035%	35.233	2.629%	0.0016
Sample201	6852	1.0	212.572	3.102%	35.414	2.633%	0.0016
Sample202	6889	1.0	207.359	3.01%	34.904	2.58%	0.0015
Sample203	6966	1.0	186.024	2.67%	31.419	2.301%	0.0014
Sample204	6992	1.0	190.612	2.726%	32.969	2.404%	0.0014
Sample205	7032	1.0	193.267	2.748%	33.354	2.418%	0.0014
Sample206	7053	1.0	196.091	2.78%	33.252	2.403%	0.0014
Sample207	7083	1.0	201.505	2.845%	34.377	2.472%	0.0015
Sample208	7109	1.0	205.348	2.889%	35.353	2.532%	0.0015
Sample209	7184	1.0	188.413	2.623%	32.87	2.332%	0.0013
Sample210	7223	1.0	188.487	2.61%	32.84	2.317%	0.0013
Sample211	7246	1.0	196.896	2.717%	33.607	2.364%	0.0013
Sample212	7288	1.0	196.546	2.697%	33.624	2.353%	0.0013
Sample213	7327	1.0	203.217	2.774%	35.351	2.46%	0.0013
Sample214	7356	1.0	202.662	2.755%	35.282	2.445%	0.0013
Sample215	7429	1.0	189.064	2.545%	32.158	2.211%	0.0012
Sample216	7474	1.0	197.868	2.647%	32.83	2.246%	0.0013
Sample217	7511	1.0	201.319	2.68%	33.994	2.313%	0.0013
Sample218	7538	1.0	198.687	2.636%	33.288	2.256%	0.0013
Sample219	7714	1.0	187.308	2.428%	30.464	2.04%	0.001
Sample220	7792	1.0	187.292	2.404%	30.872	2.048%	0.001
Sample221	7827	1.0	199.108	2.544%	32.966	2.177%	0.001
Sample222	7857	1.0	192.265	2.447%	31.555	2.076%	0.001
Sample223	7895	1.0	201.338	2.55%	33.562	2.196%	0.001
Sample224	7938	1.0	212.744	2.68%	36.273	2.36%	0.0011
Sample225	7966	1.0	205.707	2.582%	35.512	2.301%	0.001
Sample226	7992	1.0	199.875	2.501%	34.272	2.213%	0.001
Sample227	8021	1.0	195.602	2.439%	33.168	2.134%	0.001
Sample228	8061	1.0	195.398	2.424%	33.49	2.143%	0.001
Sample229	8137	1.0	179.891	2.211%	31.444	1.996%	0.0009
Sample230	8168	1.0	178.155	2.181%	31.115	1.967%	0.0009
Sample231	8250	1.0	192.627	2.335%	33.245	2.082%	0.0009
Sample232	8279	1.0	189.037	2.283%	32.593	2.033%	0.0009
Sample233	8290	1.0	194.159	2.342%	32.953	2.054%	0.001
Sample234	8319	1.0	190.859	2.294%	31.766	1.972%	0.0009
Sample235	8348	1.0	183.33	2.196%	29.902	1.85%	0.0009
Sample236	8383	1.0	189.319	2.258%	30.438	1.875%	0.0009
Sample237	8406	1.0	192.282	2.287%	30.584	1.879%	0.0009
Sample238	8415	1.0	190.242	2.261%	30.283	1.859%	0.0009
Sample239	8445	1.0	194.053	2.298%	30.061	1.839%	0.0009
Sample240	8473	1.0	186.548	2.202%	28.659	1.747%	0.0009
Sample241	8500	1.0	184.923	2.176%	28.228	1.715%	0.0009
Sample242	8541	1.0	183.164	2.145%	27.17	1.645%	0.0009
Sample243	8582	1.0	187.508	2.185%	28.105	1.693%	0.0009
Sample244	8610	1.0	185.893	2.159%	27.735	1.665%	0.0009
Sample245	8643	1.0	184.649	2.136%	27.57	1.649%	0.0008
Sample246	8670	1.0	182.978	2.11%	26.972	1.608%	0.0008
Sample247	8701	1.0	182.625	2.099%	26.712	1.586%	0.0008
Sample248	8731	1.0	175.91	2.015%	25.994	1.538%	0.0008
Sample249	8757	1.0	175.392	2.003%	26.072	1.537%	0.0008
Sample250	8793	1.0	184.016	2.093%	27.457	1.611%	0.0008
Sample251	8868	1.0	167.545	1.889%	24.833	1.447%	0.0008
Sample252	8899	1.0	169.467	1.904%	24.854	1.443%	0.0008
Sample253	8924	1.0	167.246	1.874%	24.459	1.416%	0.0008
Sample254	8950	1.0	163.409	1.826%	24.011	1.386%	0.0008
Sample255	8996	1.0	170.36	1.894%	25.415	1.459%	0.0008
Sample256	9019	1.0	173.635	1.925%	25.904	1.484%	0.0008
Sample257	9046	1.0	175.995	1.946%	26.15	1.493%	0.0008
Sample258	9076	1.0	176.171	1.941%	26.266	1.494%	0.0008
Sample259	9103	1.0	175.444	1.927%	25.839	1.465%	0.0008
Sample260	9129	1.0	173.881	1.905%	25.503	1.442%	0.0008
Sample261	9209	1.0	160.003	1.737%	23.167	1.301%	0.0007
