Samples	SBS1	SBS3	SBS5	Signature D
Sample882	38	562	417	0
Sample883	38	485	462	0
Sample884	40	617	358	0
Sample885	38	530	432	0
Sample886	37	537	441	0
Sample887	38	500	454	0
Sample888	43	574	362	0
Sample889	9	297	674	0
Sample890	38	555	421	0
Sample891	21	514	465	0
Sample892	40	536	404	0
Sample893	39	570	383	0
Sample894	0	337	348	303
Sample895	0	246	365	405
Sample896	20	314	643	0
Sample897	58	689	0	225
Sample898	0	574	0	425
Sample899	40	589	363	0
Sample900	26	335	606	0
Sample901	38	567	413	0
Sample902	36	502	462	0
Sample903	0	337	430	207
Sample904	40	566	408	0
Sample905	35	485	480	0
Sample906	21	481	485	0
Sample907	55	691	0	233
Sample908	33	501	488	0
Sample909	37	536	441	0
Sample910	8	294	704	0
Sample911	38	554	400	0
Sample912	39	524	416	0
Sample913	23	301	657	0
Sample914	36	469	476	0
Sample915	42	606	332	0
Sample916	0	216	463	320
Sample917	39	569	406	0
Sample918	42	524	421	0
Sample919	0	276	349	361
Sample920	24	393	557	0
Sample921	27	417	580	0
Sample922	37	529	442	0
Sample923	38	559	388	0
Sample924	23	399	559	0
Sample925	30	447	546	0
Sample926	42	606	332	0
Sample927	39	540	421	0
Sample928	20	298	658	0
Sample929	34	459	521	0
Sample930	23	375	577	0
Sample931	38	449	485	0
Sample932	39	554	399	0
Sample933	0	384	344	293
Sample934	0	617	0	397
Sample935	44	586	358	0
Sample936	0	318	407	293
Sample937	0	268	394	341
Sample938	54	703	0	228
Sample939	40	555	390	0
Sample940	14	0	595	390
Sample941	38	449	485	0
Sample942	0	365	427	223
Sample943	24	353	661	0
Sample944	47	666	322	0
Sample945	41	596	348	0
Sample946	0	216	384	408
Sample947	0	246	421	349
Sample948	56	691	0	238
Sample949	49	520	0	405
Sample950	38	449	485	0
Sample951	35	487	486	0
Sample952	0	232	455	313
Sample953	40	579	381	0
Sample954	35	467	490	0
Sample955	42	610	325	0
Sample956	54	709	0	222
Sample957	23	412	580	0
Sample958	35	514	465	0
Sample959	39	597	383	0
Sample960	0	275	371	373
Sample961	36	556	428	0
Sample962	54	709	0	229
Sample963	0	282	411	325
Sample964	38	449	485	0
Sample965	27	387	568	0
Sample966	28	431	556	0
Sample967	23	524	433	0
Sample968	14	370	624	0
Sample969	0	351	382	241
Sample970	23	291	670	0
Sample971	0	574	0	425
Sample972	45	535	428	0
Sample973	38	449	485	0
Sample974	40	582	386	0
Sample975	38	449	485	0
Sample976	28	404	555	0
Sample977	37	539	432	0
Sample978	39	512	435	0
Sample979	25	418	539	0
Sample980	34	526	451	0
Sample981	41	597	340	0
Sample982	39	532	421	0
Sample983	37	504	482	0
Sample984	37	533	438	0
Sample985	28	380	580	0
Sample986	30	443	554	0
Sample987	40	592	376	0
Sample988	37	538	439	0
Sample989	41	613	338	0
Sample990	31	514	439	0
Sample991	42	613	323	0
Sample992	40	584	384	0
Sample993	56	656	0	296
Sample994	40	572	406	0
Sample995	33	407	587	0
Sample996	38	542	412	0
Sample997	37	501	454	0
Sample998	0	345	405	258
Sample999	26	380	575	0
Sample1000	41	596	343	0
Sample1001	36	540	450	0
Sample1002	39	567	394	0
Sample1003	40	553	386	0
Sample1004	24	298	655	0
Sample1005	40	541	397	0
Sample1006	34	499	475	0
Sample1007	40	550	410	0
Sample1008	28	412	546	0
Sample1009	42	622	336	0
Sample1010	55	720	0	240
Sample1011	40	585	390	0
Sample1012	48	672	297	0
Sample1013	37	527	436	0
