Samples	Signature A	Signature B	Signature C
Sample1260	8.36E+01	2.06E+02	2.62E+02
Sample1261	1.00E+02	6.62E+02	5.94E+02
Sample1262	4.50E+01	6.58E+02	6.58E+02
Sample1263	5.50E+01	4.23E+02	4.02E+02
Sample1264	8.38E+01	3.73E+02	3.42E+02
Sample1265	8.66E+01	6.67E+02	6.62E+02
Sample1266	7.69E+01	3.59E+02	3.85E+02
Sample1267	5.92E+01	5.54E+02	5.12E+02
Sample1268	8.08E+01	5.74E+02	5.50E+02
Sample1269	3.60E+01	5.21E+02	5.45E+02
Sample1270	9.15E+01	4.47E+02	4.71E+02
Sample1271	6.72E+01	6.80E+02	6.69E+02
Sample1272	8.47E+01	5.47E+02	5.39E+02
Sample1273	6.96E+01	1.98E+02	1.86E+02
Sample1274	1.28E+02	5.48E+02	4.68E+02
Sample1275	3.42E+01	4.40E+02	4.40E+02
Sample1276	5.72E+01	6.14E+02	5.90E+02
Sample1277	7.59E+01	6.37E+02	5.86E+02
Sample1278	7.36E+01	6.15E+02	5.92E+02
Sample1279	1.16E+02	5.11E+02	4.56E+02
Sample1280	9.30E+01	5.22E+02	4.78E+02
Sample1281	9.57E+01	4.59E+02	4.73E+02
Sample1282	1.11E+02	4.73E+02	3.98E+02
Sample1283	6.19E+01	2.89E+02	2.49E+02
Sample1284	9.74E+01	4.64E+02	4.75E+02
Sample1285	7.05E+01	4.28E+02	4.51E+02
Sample1286	8.09E+01	5.90E+02	5.56E+02
Sample1287	1.36E+02	3.32E+02	3.23E+02
Sample1288	8.14E+01	6.75E+02	6.71E+02
Sample1289	1.21E+02	8.43E+02	7.47E+02
Sample1290	1.00E+02	6.32E+02	6.09E+02
Sample1291	8.09E+01	7.46E+02	7.46E+02
Sample1292	9.17E+01	7.12E+02	7.02E+02
Sample1293	1.06E+02	6.78E+02	6.45E+02
Sample1294	9.59E+01	7.53E+02	6.72E+02
Sample1295	9.47E+01	5.66E+02	4.98E+02
Sample1296	7.90E+01	6.10E+02	5.87E+02
Sample1297	6.00E+01	3.78E+02	3.73E+02
Sample1298	1.13E+02	6.16E+02	5.10E+02
Sample1299	6.80E+01	4.88E+02	4.84E+02
Sample1300	9.19E+01	2.24E+02	2.23E+02
Sample1301	1.17E+02	5.53E+02	4.83E+02
Sample1302	8.10E+01	5.37E+02	4.88E+02
Sample1303	1.21E+02	4.96E+02	4.17E+02
Sample1304	4.64E+01	2.96E+02	2.79E+02
Sample1305	1.16E+02	5.85E+02	5.23E+02
Sample1306	9.43E+01	7.79E+02	7.04E+02
Sample1307	4.62E+01	5.73E+02	5.74E+02
Sample1308	4.41E+01	3.86E+02	3.90E+02
Sample1309	9.61E+01	5.86E+02	5.51E+02
Sample1310	9.65E+01	7.46E+02	6.80E+02
Sample1311	5.10E+01	4.35E+02	4.15E+02
Sample1312	9.17E+01	7.15E+02	6.65E+02
Sample1313	1.13E+02	5.85E+02	5.62E+02
Sample1314	1.28E+02	4.54E+02	3.77E+02
Sample1315	8.60E+01	6.41E+02	5.99E+02
Sample1316	8.04E+01	4.71E+02	4.92E+02
Sample1317	7.19E+01	4.12E+02	3.96E+02
Sample1318	8.35E+01	5.26E+02	5.19E+02
Sample1319	9.54E+01	9.42E+02	9.42E+02
Sample1320	6.67E+01	5.74E+02	5.44E+02
Sample1321	9.68E+01	5.22E+02	5.10E+02
Sample1322	1.00E+02	3.69E+02	3.92E+02
Sample1323	8.49E+01	6.19E+02	5.66E+02
Sample1324	4.56E+01	5.61E+02	5.50E+02
Sample1325	8.10E+01	6.02E+02	5.92E+02
Sample1326	9.24E+01	7.17E+02	6.53E+02
Sample1327	1.00E+02	7.33E+02	6.57E+02
Sample1328	8.13E+01	6.81E+02	6.91E+02
Sample1329	6.66E+01	6.68E+02	6.41E+02
Sample1330	6.78E+01	4.51E+02	4.87E+02
Sample1331	9.85E+01	5.36E+02	5.19E+02
Sample1332	6.98E+01	5.25E+02	5.20E+02
Sample1333	1.06E+02	5.96E+02	5.93E+02
Sample1334	6.80E+01	4.65E+02	4.15E+02
Sample1335	8.21E+01	5.01E+02	4.98E+02
Sample1336	1.10E+02	5.44E+02	4.66E+02
Sample1337	6.53E+01	3.60E+02	3.72E+02
Sample1338	9.41E+01	5.45E+02	4.71E+02
Sample1339	8.30E+01	5.41E+02	5.61E+02
Sample1340	6.11E+01	6.66E+02	6.65E+02
Sample1341	8.97E+01	2.98E+02	3.31E+02
Sample1342	9.04E+01	5.91E+02	6.03E+02
Sample1343	7.22E+01	5.93E+02	5.93E+02
Sample1344	8.56E+01	5.14E+02	5.05E+02
Sample1345	7.24E+01	5.90E+02	5.69E+02
Sample1346	7.41E+01	4.08E+02	3.84E+02
Sample1347	7.34E+01	7.31E+02	6.97E+02
Sample1348	6.29E+01	7.00E+02	6.45E+02
Sample1349	9.83E+01	5.40E+02	5.34E+02
Sample1350	6.46E+01	5.36E+02	5.68E+02
Sample1351	9.15E+01	4.74E+02	4.43E+02
Sample1352	1.04E+02	2.53E+02	2.26E+02
Sample1353	7.70E+01	4.34E+02	4.47E+02
Sample1354	6.93E+01	3.89E+02	4.21E+02
Sample1355	1.04E+02	9.67E+02	8.93E+02
Sample1356	8.77E+01	3.47E+02	3.79E+02
Sample1357	9.82E+01	7.29E+02	6.43E+02
Sample1358	6.83E+01	6.56E+02	6.14E+02
Sample1359	7.61E+01	4.79E+02	4.43E+02
Sample1360	9.35E+01	6.15E+02	5.78E+02
Sample1361	5.49E+01	5.73E+02	5.57E+02
Sample1362	6.15E+01	3.50E+02	3.29E+02
Sample1363	9.86E+01	5.70E+02	5.11E+02
Sample1364	1.01E+02	5.59E+02	4.87E+02
Sample1365	5.32E+01	5.40E+02	5.39E+02
Sample1366	7.34E+01	6.09E+02	5.81E+02
Sample1367	1.12E+02	8.20E+02	7.88E+02
Sample1368	3.22E+01	4.44E+02	4.67E+02
Sample1369	8.11E+01	5.85E+02	5.37E+02
Sample1370	4.54E+01	5.53E+02	5.18E+02
Sample1371	7.22E+01	5.37E+02	5.03E+02
Sample1372	9.19E+01	5.45E+02	5.04E+02
Sample1373	7.46E+01	5.25E+02	4.99E+02
Sample1374	9.90E+01	6.91E+02	6.19E+02
Sample1375	6.64E+01	9.12E+02	9.07E+02
Sample1376	7.05E+01	5.79E+02	5.37E+02
Sample1377	6.55E+01	5.90E+02	5.60E+02
Sample1378	1.19E+02	4.22E+02	4.59E+02
Sample1379	9.76E+01	6.23E+02	5.57E+02
Sample1380	8.83E+01	2.82E+02	3.05E+02
Sample1381	6.50E+01	3.62E+02	3.47E+02
Sample1382	7.59E+01	6.76E+02	6.98E+02
Sample1383	7.70E+01	5.79E+02	5.49E+02
Sample1384	4.68E+01	4.38E+02	4.16E+02
Sample1385	9.11E+01	5.34E+02	4.63E+02
Sample1386	9.25E+01	7.53E+02	7.07E+02
Sample1387	5.51E+01	5.02E+02	4.99E+02
Sample1388	7.11E+01	2.31E+02	2.03E+02
Sample1389	7.35E+01	5.38E+02	5.29E+02
Sample1390	6.19E+01	3.92E+02	3.88E+02
Sample1391	5.07E+01	6.88E+02	6.95E+02
Sample1392	5.26E+01	6.01E+02	5.83E+02
Sample1393	9.71E+01	3.66E+02	3.96E+02
Sample1394	7.82E+01	7.36E+02	6.89E+02
Sample1395	6.62E+01	5.33E+02	5.00E+02
Sample1396	6.35E+01	5.64E+02	5.98E+02
Sample1397	8.71E+01	4.73E+02	4.36E+02
Sample1398	5.59E+01	7.23E+02	6.87E+02
Sample1399	9.10E+01	6.22E+02	6.24E+02
Sample1400	1.02E+02	5.72E+02	5.56E+02
Sample1401	1.07E+02	7.45E+02	6.67E+02
Sample1402	3.85E+01	5.14E+02	5.16E+02
Sample1403	6.17E+01	5.20E+02	4.91E+02
Sample1404	8.16E+01	6.73E+02	6.55E+02
Sample1405	7.39E+01	3.48E+02	3.09E+02
Sample1406	1.00E+02	4.61E+02	4.00E+02
Sample1407	7.74E+01	6.24E+02	5.87E+02
Sample1408	5.44E+01	3.03E+02	2.98E+02
Sample1409	5.99E+01	7.39E+02	7.17E+02
Sample1410	5.17E+01	3.97E+02	4.16E+02
Sample1411	1.22E+02	6.10E+02	5.35E+02
Sample1412	7.29E+01	4.17E+02	3.72E+02
Sample1413	9.64E+01	5.83E+02	5.92E+02
Sample1414	1.21E+02	7.10E+02	7.31E+02
Sample1415	7.18E+01	5.36E+02	5.37E+02
Sample1416	8.16E+01	5.73E+02	5.00E+02
Sample1417	8.91E+01	7.63E+02	6.97E+02
Sample1418	7.88E+01	6.02E+02	5.93E+02
Sample1419	7.14E+01	3.54E+02	3.71E+02
Sample1420	6.61E+01	7.40E+02	7.06E+02
Sample1421	9.91E+01	5.06E+02	5.24E+02
Sample1422	9.23E+01	4.51E+02	4.43E+02
Sample1423	6.48E+01	4.30E+02	3.92E+02
Sample1424	9.10E+01	8.40E+02	8.02E+02
Sample1425	9.90E+01	5.57E+02	5.23E+02
Sample1426	9.08E+01	7.16E+02	7.13E+02
Sample1427	5.35E+01	4.38E+02	4.36E+02
Sample1428	8.87E+01	4.55E+02	4.23E+02
Sample1429	9.36E+01	4.04E+02	4.20E+02
Sample1430	9.02E+01	2.89E+02	2.79E+02
Sample1431	9.75E+01	4.67E+02	5.35E+02
Sample1432	1.00E+02	5.03E+02	4.51E+02
Sample1433	9.63E+01	4.58E+02	4.22E+02
Sample1434	8.48E+01	8.46E+02	8.03E+02
