Samples	Signature A	Signature B	Signature C
Sample538	5.25E+01	2.57E+02	2.72E+02
Sample539	4.88E+01	1.65E+02	1.68E+02
Sample540	4.04E+01	3.78E+02	3.52E+02
Sample541	3.89E+01	2.38E+02	2.51E+02
Sample542	2.96E+01	3.32E+02	3.35E+02
Sample543	2.56E+01	1.93E+02	1.87E+02
Sample544	3.59E+01	4.51E+02	4.56E+02
Sample545	5.35E+01	2.31E+02	2.34E+02
Sample546	4.14E+01	2.16E+02	2.09E+02
Sample547	2.69E+01	4.68E+02	4.67E+02
Sample548	3.87E+01	3.60E+02	3.48E+02
Sample549	4.04E+01	2.99E+02	2.87E+02
Sample550	3.46E+01	3.74E+02	3.91E+02
Sample551	4.95E+01	3.84E+02	3.56E+02
Sample552	2.13E+01	2.46E+02	2.30E+02
Sample553	5.54E+01	8.86E+01	8.37E+01
Sample554	2.80E+01	3.61E+02	3.44E+02
Sample555	4.68E+01	2.73E+02	2.54E+02
Sample556	6.56E+01	3.18E+02	2.62E+02
Sample557	4.60E+01	2.73E+02	2.52E+02
Sample558	4.71E+01	3.60E+02	3.42E+02
Sample559	4.61E+01	3.60E+02	3.91E+02
Sample560	3.69E+01	2.71E+02	2.75E+02
Sample561	5.04E+01	2.96E+02	2.78E+02
Sample562	2.17E+01	4.66E+02	4.58E+02
Sample563	4.88E+01	3.76E+02	3.53E+02
Sample564	5.16E+01	4.01E+02	3.73E+02
Sample565	4.86E+01	3.44E+02	3.28E+02
Sample566	3.04E+01	1.78E+02	1.96E+02
Sample567	4.23E+01	4.83E+02	4.66E+02
Sample568	4.03E+01	3.51E+02	3.48E+02
Sample569	3.35E+01	4.98E+02	4.86E+02
Sample570	2.14E+01	3.06E+02	3.11E+02
Sample571	6.18E+01	2.95E+02	3.00E+02
Sample572	4.00E+01	3.35E+02	3.24E+02
Sample573	5.49E+01	2.88E+02	2.88E+02
Sample574	4.38E+01	4.13E+02	4.03E+02
Sample575	4.95E+01	3.50E+02	3.33E+02
Sample576	3.65E+01	3.74E+02	3.72E+02
Sample577	3.74E+01	3.60E+02	3.50E+02
Sample578	6.28E+01	2.17E+02	2.54E+02
Sample579	3.84E+01	3.30E+02	3.34E+02
Sample580	4.03E+01	4.10E+02	3.82E+02
Sample581	3.72E+01	3.42E+02	3.35E+02
Sample582	5.14E+01	2.94E+02	2.83E+02
Sample583	3.98E+01	2.93E+02	2.81E+02
Sample584	8.42E+01	4.29E+02	3.92E+02
Sample585	4.34E+01	1.87E+02	1.76E+02
Sample586	4.99E+01	2.79E+02	2.43E+02
Sample587	3.51E+01	3.27E+02	3.20E+02
Sample588	8.60E+01	3.23E+02	2.70E+02
Sample589	5.36E+01	2.54E+02	2.40E+02
Sample590	3.23E+01	2.31E+02	2.12E+02
Sample591	3.41E+01	3.36E+02	3.24E+02
Sample592	6.16E+01	4.13E+02	4.17E+02
Sample593	2.31E+01	3.89E+02	3.68E+02
Sample594	3.89E+01	4.05E+02	4.19E+02
Sample595	5.10E+01	3.42E+02	3.25E+02
Sample596	3.91E+01	2.75E+02	2.71E+02
Sample597	4.48E+01	1.79E+02	1.78E+02
Sample598	3.37E+01	2.77E+02	2.82E+02
Sample599	6.35E+01	3.00E+02	2.70E+02
Sample600	5.87E+01	2.52E+02	2.29E+02
Sample601	2.52E+01	2.46E+02	2.28E+02
Sample602	5.79E+01	2.89E+02	2.87E+02
Sample603	4.82E+01	2.13E+02	2.20E+02
Sample604	4.33E+01	5.40E+02	5.28E+02
Sample605	6.94E+01	1.95E+02	1.67E+02
Sample606	4.21E+01	3.62E+02	3.34E+02
Sample607	4.69E+01	2.57E+02	2.34E+02
Sample608	4.27E+01	2.71E+02	2.72E+02
Sample609	4.79E+01	1.96E+02	1.90E+02
Sample610	6.50E+01	3.59E+02	3.30E+02
Sample611	6.10E+01	4.02E+02	3.83E+02
Sample612	5.21E+01	3.35E+02	2.92E+02
Sample613	8.84E+01	3.00E+02	2.80E+02
Sample614	6.81E+01	4.34E+02	3.99E+02
Sample615	6.19E+01	1.50E+02	1.46E+02
Sample616	3.54E+01	3.14E+02	3.26E+02
Sample617	3.29E+01	3.28E+02	3.25E+02
Sample618	4.73E+01	3.79E+02	3.58E+02
Sample619	4.94E+01	2.15E+02	2.06E+02
Sample620	4.50E+01	2.59E+02	2.41E+02
Sample621	3.87E+01	4.06E+02	4.08E+02
Sample622	4.76E+01	3.20E+02	3.29E+02
Sample623	4.76E+01	2.79E+02	2.57E+02
Sample624	5.12E+01	2.41E+02	2.36E+02
Sample625	6.76E+01	3.83E+02	3.57E+02
Sample626	5.61E+01	2.69E+02	2.61E+02
Sample627	2.16E+01	2.75E+02	2.77E+02
Sample628	4.64E+01	2.26E+02	2.36E+02
Sample629	6.75E+01	1.59E+02	1.29E+02
Sample630	4.93E+01	1.73E+02	1.56E+02
Sample631	7.47E+01	3.87E+02	3.70E+02
Sample632	6.80E+01	1.70E+02	1.72E+02
Sample633	5.28E+01	3.18E+02	3.18E+02
Sample634	5.41E+01	3.86E+02	3.59E+02
Sample635	4.77E+01	1.95E+02	2.08E+02
Sample636	6.59E+01	4.17E+02	3.77E+02
Sample637	3.19E+01	3.87E+02	3.60E+02
Sample638	6.16E+01	1.28E+02	1.02E+02
Sample639	3.79E+01	4.72E+02	4.50E+02
Sample640	4.21E+01	3.16E+02	3.21E+02
Sample641	7.17E+01	4.86E+02	4.24E+02
Sample642	6.11E+01	3.56E+02	3.11E+02
Sample643	5.54E+01	3.13E+02	3.02E+02
Sample644	7.11E+01	3.78E+02	3.53E+02
Sample645	6.21E+01	3.59E+02	3.49E+02
Sample646	4.86E+01	2.22E+02	2.04E+02
Sample647	5.61E+01	2.60E+02	2.64E+02
Sample648	5.02E+01	1.85E+02	2.09E+02
Sample649	3.87E+01	2.90E+02	3.10E+02
Sample650	5.27E+01	2.62E+02	2.71E+02
Sample651	4.95E+01	3.00E+02	2.80E+02
Sample652	4.95E+01	4.28E+02	4.29E+02
Sample653	3.32E+01	4.82E+02	4.60E+02
Sample654	6.00E+01	2.92E+02	2.37E+02
Sample655	4.68E+01	2.04E+02	2.10E+02
Sample656	6.05E+01	1.87E+02	1.60E+02
Sample657	5.39E+01	2.34E+02	2.52E+02
Sample658	4.93E+01	3.35E+02	3.26E+02
Sample659	6.79E+01	3.12E+02	2.92E+02
Sample660	6.17E+01	2.38E+02	2.76E+02
Sample661	2.82E+01	2.73E+02	2.56E+02
Sample662	8.37E+01	3.94E+02	3.31E+02
Sample663	6.01E+01	3.18E+02	2.80E+02
Sample664	3.08E+01	3.44E+02	3.37E+02
Sample665	4.12E+01	3.97E+02	3.80E+02
Sample666	6.07E+01	2.88E+02	2.71E+02
Sample667	4.42E+01	3.15E+02	3.17E+02
Sample668	4.65E+01	2.59E+02	2.45E+02
Sample669	3.58E+01	1.21E+02	1.24E+02
Sample670	5.41E+01	3.31E+02	3.52E+02
Sample671	3.70E+01	5.58E+02	5.53E+02
Sample672	4.05E+01	1.88E+02	1.88E+02
Sample673	3.73E+01	3.28E+02	3.12E+02
Sample674	5.26E+01	2.18E+02	2.28E+02
Sample675	5.70E+01	6.72E+01	6.83E+01
Sample676	8.21E+01	3.46E+02	2.95E+02
Sample677	4.30E+01	2.97E+02	2.82E+02
Sample678	3.79E+01	2.92E+02	2.93E+02
Sample679	7.29E+01	2.50E+02	1.95E+02
Sample680	7.28E+01	2.08E+02	1.93E+02
Sample681	4.46E+01	2.77E+02	2.51E+02
Sample682	6.93E+01	1.89E+02	2.22E+02
Sample683	6.77E+01	2.37E+02	1.90E+02
Sample684	2.83E+01	3.30E+02	3.31E+02
Sample685	3.24E+01	2.92E+02	2.93E+02
Sample686	5.36E+01	2.00E+02	1.96E+02
Sample687	3.02E+01	2.18E+02	1.97E+02
Sample688	5.16E+01	2.54E+02	2.40E+02
Sample689	5.63E+01	4.52E+02	4.54E+02
Sample690	9.22E+01	9.24E+01	1.50E+00
Sample691	5.22E+01	2.80E+02	2.68E+02
Sample692	2.05E+01	3.38E+02	3.43E+02
Sample693	9.04E+01	2.75E+02	2.19E+02
Sample694	5.62E+01	2.42E+02	2.28E+02
Sample695	5.52E+01	2.64E+02	2.22E+02
Sample696	5.56E+01	4.24E+02	4.01E+02
Sample697	5.62E+01	3.19E+02	3.28E+02
Sample698	5.00E+01	3.84E+02	3.48E+02
Sample699	4.54E+01	4.53E+02	4.25E+02
Sample700	5.81E+01	1.67E+02	1.83E+02
Sample701	6.93E+01	2.66E+02	2.56E+02
Sample702	4.32E+01	1.97E+02	2.03E+02
Sample703	6.56E+01	2.94E+02	2.70E+02
Sample704	3.94E+01	3.51E+02	3.42E+02
Sample705	4.59E+01	2.72E+02	2.52E+02
Sample706	7.86E+01	3.93E+02	3.41E+02
Sample707	8.17E+01	3.31E+02	3.18E+02
Sample708	5.20E+01	2.59E+02	2.74E+02
Sample709	4.04E+01	3.06E+02	2.81E+02
Sample710	5.17E+01	3.64E+02	3.68E+02
Sample711	5.36E+01	2.91E+02	2.58E+02
Sample712	6.49E+01	2.60E+02	2.56E+02
Sample713	5.98E+01	2.53E+02	2.64E+02
Sample714	4.71E+01	3.15E+02	3.29E+02
Sample715	6.85E+01	3.84E+02	3.31E+02
Sample716	5.11E+01	3.69E+02	3.58E+02
Sample717	7.91E+01	3.21E+02	2.73E+02
Sample718	7.93E+01	3.02E+02	2.86E+02
Sample719	4.47E+01	2.22E+02	1.99E+02
Sample720	7.69E+01	4.80E+02	4.26E+02
Sample721	6.51E+01	2.23E+02	2.27E+02
Sample722	6.30E+01	4.12E+02	3.76E+02
Sample723	7.10E+01	4.30E+02	3.90E+02
Sample724	7.28E+01	3.40E+02	2.90E+02
Sample725	6.44E+01	2.76E+02	2.55E+02
Sample726	2.15E+01	2.37E+02	2.25E+02
Sample727	5.14E+01	4.18E+02	4.02E+02
Sample728	8.86E+01	4.82E+02	4.62E+02
Sample729	5.82E+01	3.33E+02	2.88E+02
Sample730	6.64E+01	4.43E+02	4.03E+02
Sample731	6.52E+01	3.06E+02	3.12E+02
Sample732	4.93E+01	2.98E+02	2.92E+02
Sample733	6.97E+01	3.86E+02	3.31E+02
Sample734	7.45E+01	3.74E+02	3.25E+02
Sample735	5.29E+01	3.42E+02	3.54E+02
Sample736	5.06E+01	3.52E+02	3.91E+02
Sample737	5.13E+01	4.06E+02	3.79E+02
Sample738	6.01E+01	5.17E+02	4.91E+02
Sample739	3.87E+01	3.89E+02	3.65E+02
Sample740	5.20E+01	3.59E+02	3.26E+02
Sample741	6.81E+01	4.60E+02	4.32E+02
Sample742	5.32E+01	4.40E+02	4.11E+02
Sample743	6.62E+01	5.25E+02	4.68E+02
Sample744	4.88E+01	2.77E+02	2.59E+02
Sample745	6.23E+01	4.81E+02	4.55E+02
Sample746	4.58E+01	3.46E+02	3.60E+02
Sample747	6.31E+01	4.87E+02	4.42E+02
Sample748	6.46E+01	4.16E+02	4.09E+02
Sample749	3.65E+01	3.13E+02	3.08E+02
Sample750	6.41E+01	4.28E+02	3.78E+02
Sample751	6.72E+01	4.72E+02	4.21E+02
Sample752	3.49E+01	2.56E+02	2.57E+02
Sample753	5.57E+01	4.92E+02	4.76E+02
Sample754	5.47E+01	3.34E+02	3.26E+02
Sample755	5.78E+01	4.67E+02	4.46E+02
Sample756	3.15E+01	6.91E+02	6.68E+02
Sample757	4.91E+01	3.74E+02	3.73E+02
Sample758	5.58E+01	2.96E+02	3.00E+02
Sample759	5.85E+01	2.60E+02	2.90E+02
Sample760	7.65E+01	3.86E+02	3.46E+02
Sample761	3.93E+01	4.02E+02	3.86E+02
Sample762	3.72E+01	2.92E+02	2.99E+02
Sample763	5.73E+01	5.31E+02	5.04E+02
Sample764	6.61E+01	3.80E+02	3.65E+02
Sample765	6.51E+01	6.73E+02	6.37E+02
Sample766	4.05E+01	3.60E+02	3.65E+02
Sample767	6.72E+01	4.14E+02	4.13E+02
Sample768	5.59E+01	5.29E+02	4.84E+02
Sample769	7.46E+01	3.63E+02	3.26E+02
Sample770	4.19E+01	4.51E+02	4.59E+02
Sample771	4.80E+01	4.50E+02	4.56E+02
Sample772	4.05E+01	4.38E+02	4.57E+02
Sample773	4.66E+01	3.57E+02	3.40E+02
Sample774	6.17E+01	4.62E+02	4.42E+02
Sample775	3.95E+01	5.28E+02	5.13E+02
Sample776	5.50E+01	4.34E+02	4.20E+02
Sample777	5.34E+01	5.39E+02	5.11E+02
Sample778	8.91E+01	3.95E+02	3.76E+02
Sample779	6.40E+01	3.36E+02	3.03E+02
Sample780	5.72E+01	3.84E+02	3.77E+02
Sample781	4.21E+01	2.72E+02	2.90E+02
Sample782	8.58E+01	4.73E+02	4.20E+02
Sample783	5.35E+01	3.24E+02	3.13E+02
Sample784	7.41E+01	4.69E+02	4.06E+02
Sample785	4.48E+01	2.95E+02	2.79E+02
Sample786	2.52E+01	5.11E+02	4.93E+02
Sample787	6.91E+01	4.07E+02	3.72E+02
Sample788	4.76E+01	2.94E+02	3.14E+02
Sample789	8.48E+01	6.38E+02	6.12E+02
Sample790	4.76E+01	4.48E+02	4.24E+02
Sample791	5.62E+01	4.15E+02	3.69E+02
Sample792	6.64E+01	2.22E+02	2.23E+02
Sample793	4.30E+01	3.03E+02	2.89E+02
Sample794	6.34E+01	2.56E+02	2.21E+02
Sample795	4.74E+01	4.69E+02	4.55E+02
Sample796	5.55E+01	3.22E+02	2.89E+02
Sample797	7.40E+01	3.04E+02	2.98E+02
Sample798	6.12E+01	3.02E+02	2.96E+02
Sample799	7.84E+01	5.61E+02	5.13E+02
Sample800	7.36E+01	3.03E+02	3.19E+02
Sample801	6.92E+01	5.42E+02	5.34E+02
Sample802	5.52E+01	3.28E+02	3.01E+02
Sample803	6.76E+01	5.31E+02	4.70E+02
Sample804	5.22E+01	3.63E+02	3.55E+02
Sample805	4.96E+01	3.15E+02	3.48E+02
Sample806	3.08E+01	3.69E+02	3.69E+02
Sample807	6.59E+01	3.28E+02	3.55E+02
Sample808	3.47E+01	4.66E+02	4.58E+02
Sample809	6.73E+01	3.89E+02	3.63E+02
Sample810	5.33E+01	3.45E+02	3.06E+02
Sample811	4.83E+01	4.31E+02	4.49E+02
Sample812	6.04E+01	4.91E+02	4.54E+02
Sample813	4.64E+01	2.61E+02	2.79E+02
Sample814	4.65E+01	4.69E+02	4.32E+02
Sample815	5.83E+01	3.58E+02	3.52E+02
Sample816	6.20E+01	4.70E+02	4.39E+02
Sample817	3.30E+01	2.77E+02	2.62E+02
Sample818	2.72E+01	3.76E+02	3.88E+02
Sample819	4.01E+01	4.83E+02	4.60E+02
Sample820	5.33E+01	3.13E+02	3.19E+02
Sample821	4.52E+01	4.19E+02	4.16E+02
Sample822	4.68E+01	2.78E+02	2.95E+02
Sample823	5.05E+01	3.39E+02	3.51E+02
Sample824	6.41E+01	2.62E+02	2.43E+02
Sample825	7.33E+01	4.37E+02	4.02E+02
Sample826	5.59E+01	3.76E+02	3.44E+02
Sample827	5.15E+01	3.19E+02	2.75E+02
Sample828	3.28E+01	3.36E+02	3.33E+02
Sample829	5.99E+01	2.61E+02	2.50E+02
Sample830	5.22E+01	2.42E+02	2.46E+02
Sample831	3.61E+01	2.47E+02	2.41E+02
Sample832	7.06E+01	3.87E+02	4.03E+02
Sample833	5.91E+01	5.10E+02	4.91E+02
Sample834	6.83E+01	4.65E+02	4.15E+02
Sample835	4.03E+01	5.93E+02	5.91E+02
Sample836	2.80E+01	2.83E+02	2.68E+02
Sample837	5.86E+01	4.70E+02	4.68E+02
Sample838	7.10E+01	3.49E+02	3.56E+02
Sample839	3.22E+01	3.21E+02	3.23E+02
Sample840	5.42E+01	4.53E+02	4.45E+02
Sample841	7.12E+01	4.53E+02	3.93E+02
Sample842	9.51E+01	5.19E+02	4.75E+02
Sample843	5.96E+01	4.69E+02	4.33E+02
Sample844	6.07E+01	5.69E+02	5.23E+02
Sample845	5.27E+01	4.45E+02	4.62E+02
Sample846	5.58E+01	5.41E+02	5.32E+02
Sample847	2.84E+01	4.77E+02	4.70E+02
Sample848	4.01E+01	3.97E+02	4.31E+02
Sample849	4.40E+01	4.09E+02	3.98E+02
Sample850	6.95E+01	2.08E+02	2.51E+02
Sample851	5.63E+01	6.26E+02	6.22E+02
Sample852	3.90E+01	4.53E+02	4.42E+02
Sample853	6.69E+01	3.89E+02	3.36E+02
Sample854	4.94E+01	3.58E+02	3.57E+02
Sample855	2.55E+01	4.68E+02	4.81E+02
Sample856	4.46E+01	2.48E+02	2.51E+02
Sample857	6.17E+01	6.04E+02	5.65E+02
Sample858	4.81E+01	3.55E+02	3.46E+02
Sample859	6.70E+01	5.33E+02	5.17E+02
Sample860	2.80E+01	3.62E+02	3.49E+02
Sample861	6.58E+01	4.94E+02	4.80E+02
Sample862	2.41E+01	3.31E+02	3.22E+02
Sample863	7.20E+01	6.54E+02	6.22E+02
Sample864	7.33E+01	4.35E+02	3.93E+02
Sample865	3.89E+01	2.83E+02	2.75E+02
Sample866	4.75E+01	3.34E+02	3.29E+02
Sample867	5.07E+01	2.64E+02	2.75E+02
Sample868	5.51E+01	3.36E+02	3.41E+02
Sample869	5.56E+01	2.54E+02	2.31E+02
Sample870	7.35E+01	4.31E+02	4.34E+02
Sample871	5.26E+01	1.86E+02	1.76E+02
Sample872	4.95E+01	4.09E+02	3.84E+02
Sample873	4.31E+01	2.55E+02	2.50E+02
Sample874	4.72E+01	3.81E+02	3.82E+02
Sample875	6.16E+01	5.87E+02	5.77E+02
Sample876	5.63E+01	6.39E+02	6.12E+02
Sample877	4.38E+01	3.27E+02	2.97E+02
Sample878	6.66E+01	4.49E+02	3.92E+02
Sample879	3.19E+01	3.15E+02	3.06E+02
Sample880	7.38E+01	3.33E+02	3.35E+02
Sample881	3.46E+01	6.09E+02	5.96E+02
Sample882	3.82E+01	4.78E+02	4.60E+02
Sample883	5.75E+01	2.12E+02	2.15E+02
Sample884	8.32E+01	3.72E+02	3.62E+02
Sample885	3.64E+01	3.42E+02	3.58E+02
Sample886	8.87E+01	6.92E+02	6.48E+02
Sample887	5.04E+01	3.08E+02	3.09E+02
Sample888	6.57E+01	4.55E+02	4.29E+02
Sample889	4.08E+01	5.20E+02	5.15E+02
Sample890	5.80E+01	2.98E+02	3.21E+02
Sample891	4.77E+01	3.68E+02	3.85E+02
Sample892	1.14E+02	4.09E+02	3.32E+02
Sample893	8.98E+01	5.03E+02	4.57E+02
Sample894	6.30E+01	3.65E+02	3.59E+02
Sample895	8.04E+01	3.84E+02	3.14E+02
Sample896	5.68E+01	6.17E+02	6.08E+02
Sample897	8.24E+01	5.13E+02	4.70E+02
Sample898	6.59E+01	4.16E+02	4.02E+02
Sample899	6.41E+01	3.34E+02	2.92E+02
Sample900	5.90E+01	3.34E+02	3.29E+02
Sample901	6.08E+01	2.19E+02	2.34E+02
Sample902	6.03E+01	6.04E+02	5.81E+02
Sample903	5.85E+01	1.93E+02	2.21E+02
Sample904	4.56E+01	2.61E+02	2.57E+02
Sample905	5.38E+01	4.07E+02	4.27E+02
Sample906	8.59E+01	3.01E+02	2.63E+02
Sample907	3.92E+01	4.12E+02	4.20E+02
Sample908	6.71E+01	5.81E+02	5.23E+02
Sample909	7.01E+01	3.98E+02	4.05E+02
Sample910	8.49E+01	3.31E+02	2.96E+02
Sample911	5.17E+01	5.90E+02	5.65E+02
Sample912	5.54E+01	3.50E+02	3.58E+02
Sample913	4.22E+01	4.71E+02	4.86E+02
Sample914	8.66E+01	5.12E+02	4.65E+02
Sample915	5.48E+01	4.00E+02	3.71E+02
Sample916	4.49E+01	3.82E+02	3.64E+02
Sample917	2.38E+01	3.79E+02	3.85E+02
Sample918	2.73E+01	3.03E+02	3.17E+02
Sample919	3.50E+01	2.95E+02	3.09E+02
Sample920	6.31E+01	4.26E+02	3.71E+02
Sample921	3.39E+01	4.00E+02	4.07E+02
Sample922	9.90E+01	5.20E+02	4.55E+02
Sample923	4.91E+01	3.99E+02	3.67E+02
Sample924	8.76E+01	4.85E+02	4.23E+02
Sample925	3.16E+01	3.66E+02	3.56E+02
Sample926	8.54E+01	7.06E+02	6.39E+02
Sample927	7.16E+01	3.83E+02	4.22E+02
Sample928	4.16E+01	2.22E+02	1.86E+02
Sample929	8.09E+01	3.39E+02	2.91E+02
Sample930	3.08E+01	3.19E+02	3.39E+02
Sample931	8.22E+01	5.78E+02	5.57E+02
Sample932	1.10E+02	5.53E+02	5.43E+02
Sample933	5.57E+01	4.98E+02	4.75E+02
Sample934	5.23E+01	5.30E+02	5.15E+02
Sample935	6.63E+01	3.73E+02	3.36E+02
Sample936	7.52E+01	5.71E+02	5.48E+02
Sample937	5.51E+01	4.51E+02	4.22E+02
Sample938	6.22E+01	5.83E+02	5.56E+02
Sample939	7.47E+01	5.62E+02	5.19E+02
Sample940	6.98E+01	4.89E+02	5.20E+02
Sample941	6.71E+01	3.83E+02	3.68E+02
Sample942	6.98E+01	2.89E+02	2.60E+02
Sample943	6.23E+01	3.48E+02	3.38E+02
Sample944	6.03E+01	5.37E+02	5.21E+02
Sample945	4.62E+01	4.08E+02	3.81E+02
Sample946	5.37E+01	1.60E+02	1.84E+02
Sample947	7.55E+01	4.66E+02	4.21E+02
Sample948	5.82E+01	5.48E+02	5.42E+02
Sample949	5.93E+01	4.75E+02	4.49E+02
Sample950	4.98E+01	5.39E+02	5.11E+02
Sample951	5.20E+01	2.64E+02	2.53E+02
Sample952	4.99E+01	2.87E+02	2.89E+02
Sample953	7.53E+01	3.80E+02	3.52E+02
Sample954	7.21E+01	6.73E+02	6.42E+02
Sample955	5.01E+01	4.11E+02	4.17E+02
Sample956	6.61E+01	4.33E+02	4.10E+02
Sample957	7.37E+01	5.34E+02	5.04E+02
Sample958	7.39E+01	2.80E+02	2.88E+02
Sample959	6.83E+01	6.50E+02	6.02E+02
Sample960	6.78E+01	5.99E+02	5.50E+02
Sample961	4.53E+01	5.31E+02	5.25E+02
Sample962	5.98E+01	5.26E+02	5.43E+02
Sample963	8.47E+01	5.34E+02	4.95E+02
Sample964	8.75E+01	4.12E+02	3.64E+02
Sample965	7.34E+01	3.78E+02	3.80E+02
Sample966	6.02E+01	4.45E+02	4.17E+02
Sample967	9.90E+01	5.66E+02	5.23E+02
Sample968	8.43E+01	8.53E+02	7.91E+02
Sample969	6.52E+01	4.87E+02	4.90E+02
Sample970	6.53E+01	6.69E+02	6.40E+02
Sample971	3.04E+01	4.79E+02	4.78E+02
Sample972	5.02E+01	1.99E+02	2.00E+02
Sample973	7.16E+01	3.05E+02	3.20E+02
Sample974	7.34E+01	3.57E+02	3.18E+02
Sample975	9.31E+01	3.88E+02	3.50E+02
Sample976	8.81E+01	3.63E+02	3.28E+02
Sample977	5.97E+01	4.32E+02	3.95E+02
Sample978	5.59E+01	3.44E+02	3.23E+02
Sample979	1.03E+02	3.11E+02	2.58E+02
Sample980	8.34E+01	3.55E+02	3.17E+02
Sample981	7.72E+01	3.79E+02	3.51E+02
Sample982	5.58E+01	3.41E+02	3.20E+02
Sample983	8.27E+01	3.35E+02	3.74E+02
Sample984	6.19E+01	2.92E+02	3.23E+02
Sample985	1.09E+02	5.60E+02	4.81E+02
Sample986	1.02E+02	5.39E+02	4.49E+02
Sample987	6.41E+01	3.10E+02	3.31E+02
Sample988	4.14E+01	2.90E+02	3.01E+02
Sample989	6.78E+01	5.55E+02	5.84E+02
Sample990	9.55E+01	5.60E+02	5.59E+02
Sample991	5.28E+01	3.71E+02	3.57E+02
Sample992	4.62E+01	3.16E+02	3.29E+02
Sample993	3.55E+01	4.00E+02	3.78E+02
Sample994	4.78E+01	4.29E+02	4.13E+02
Sample995	6.49E+01	5.74E+02	5.60E+02
Sample996	9.70E+01	4.81E+02	4.01E+02
Sample997	7.97E+01	3.64E+02	3.35E+02
Sample998	9.81E+01	4.69E+02	3.96E+02
Sample999	6.65E+01	4.53E+02	4.47E+02
Sample1000	7.29E+01	3.39E+02	3.48E+02
Sample1001	4.96E+01	2.94E+02	2.88E+02
Sample1002	7.85E+01	3.44E+02	3.13E+02
Sample1003	6.53E+01	6.44E+02	6.10E+02
Sample1004	3.92E+01	3.72E+02	3.71E+02
Sample1005	6.19E+01	3.14E+02	3.05E+02
Sample1006	8.53E+01	4.43E+02	4.15E+02
