Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample248	1.39E+01	1.65E+01	1.47E+01	2.63E+01	1.50E+01
Sample249	1.11E+01	1.02E+01	1.06E+01	1.40E+01	8.97E+00
Sample250	3.96E+01	2.51E+01	2.25E+01	5.25E+01	1.40E+01
Sample251	2.17E+01	2.03E+01	1.58E+01	5.52E+01	1.16E+01
Sample252	2.19E+01	2.05E+01	1.65E+01	1.88E+01	1.12E+01
Sample253	2.17E+01	1.01E+01	3.07E+01	2.06E+01	1.04E+01
Sample254	1.71E+01	2.52E+01	1.13E+01	1.69E+01	1.15E+01
Sample255	4.24E+01	1.14E+01	1.57E+01	5.35E+01	1.45E+01
Sample256	1.57E+01	3.11E+01	2.66E+01	5.39E+01	7.66E+00
Sample257	1.32E+01	1.35E+01	1.65E+01	1.43E+01	6.23E+00
Sample258	2.32E+01	1.69E+01	2.59E+01	1.47E+01	8.30E+00
Sample259	2.21E+01	2.85E+01	2.17E+01	3.53E+01	1.24E+01
Sample260	1.15E+01	2.26E+01	1.87E+01	3.55E+01	1.99E+01
Sample261	2.65E+01	1.67E+01	1.41E+01	3.98E+01	1.53E+01
Sample262	4.97E+01	2.54E+01	2.33E+01	5.60E+01	1.11E+01
Sample263	4.62E+01	3.73E+01	2.46E+01	5.88E+01	8.26E+00
Sample264	1.43E+01	2.32E+01	2.22E+01	1.58E+01	7.18E+00
Sample265	2.70E+01	1.67E+01	2.60E+01	5.67E+01	2.77E+01
Sample266	1.82E+01	1.85E+01	1.75E+01	2.44E+01	4.31E+00
Sample267	2.78E+01	2.57E+01	3.75E+01	2.19E+01	7.56E+00
Sample268	7.51E+00	1.95E+01	3.12E+01	1.91E+01	6.78E+00
Sample269	2.20E+01	2.38E+01	9.86E+00	5.14E+01	2.63E+01
Sample270	2.81E+01	6.27E+01	3.43E+01	9.07E+01	2.89E+01
Sample271	7.43E+00	2.15E+01	1.82E+01	1.22E+01	1.28E+01
Sample272	1.84E+01	2.04E+01	2.69E+01	3.84E+01	2.06E+01
Sample273	4.28E+01	3.17E+01	2.40E+01	6.16E+01	7.68E+00
Sample274	1.97E+01	1.34E+01	9.21E+00	2.63E+01	8.13E+00
Sample275	2.51E+01	2.48E+01	1.37E+01	1.75E+01	1.22E+01
Sample276	2.39E+01	1.87E+01	2.35E+01	2.76E+01	1.08E+01
Sample277	2.04E+01	1.76E+01	2.46E+01	1.76E+01	1.18E+01
Sample278	1.34E+01	1.42E+01	2.12E+01	1.55E+01	9.86E+00
Sample279	1.34E+01	2.08E+01	1.68E+01	1.80E+01	8.03E+00
Sample280	2.40E+01	1.75E+01	1.07E+01	1.44E+01	1.06E+01
Sample281	2.34E+01	1.77E+01	2.29E+01	2.42E+01	6.51E+00
Sample282	4.23E+01	3.35E+01	1.98E+01	4.07E+01	1.05E+01
Sample283	2.30E+01	2.23E+01	2.17E+01	1.71E+01	6.19E+00
Sample284	4.77E+01	2.89E+01	1.87E+01	5.13E+01	7.40E+00
Sample285	1.93E+01	1.43E+01	3.96E+01	4.45E+01	1.37E+01
Sample286	1.51E+01	1.67E+01	2.23E+01	3.30E+01	1.29E+01
Sample287	6.68E+00	2.00E+01	1.96E+01	2.59E+01	1.48E+01
Sample288	2.79E+01	1.43E+01	1.53E+01	1.57E+01	1.51E+01
Sample289	1.03E+01	2.37E+01	2.59E+01	2.60E+01	1.12E+01
Sample290	3.94E+01	3.23E+01	2.47E+01	5.12E+01	9.81E+00
